FID,region,prefecture,commune,canton,localite,nom,categorie,statut,actif,prefecture_key,commune_key,canton_key,lon,lat
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-432c,Grand Lomé,Golfe,Golfe 1,Bè-Est,Be kpota,MECIT BE-KPOTA,Banque,Non renseigné,False,GOLFE,GOLFE 1,GOLFE | BE-EST,1.263561666666666,6.158953333333335
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-432b,Grand Lomé,Golfe,Golfe 1,Bè-Est,AKODESSEWA,WAGES Akodessewa,Micro-Finance,En activité,True,GOLFE,GOLFE 1,GOLFE | BE-EST,1.266705,6.153173333333331
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-432a,Grand Lomé,Golfe,Golfe 1,Bè-Est,N/a,Mutuelle Nevaeme,Micro-Finance,En activité,True,GOLFE,GOLFE 1,GOLFE | BE-EST,1.2546416666666667,6.15032
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-4329,Grand Lomé,Golfe,Golfe 3,Bè-Ouest,TOKOIN,CORIS Bank International,Banque,En activité,True,GOLFE,GOLFE 3,GOLFE | BE-OUEST,1.2227248052125625,6.164337860272213
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-4328,Grand Lomé,Golfe,Golfe 1,Bè-Est,AKODESSEWA,ECOBANK d'Akodessewa,Banque,En activité,True,GOLFE,GOLFE 1,GOLFE | BE-EST,1.2657853626122715,6.15309018801826
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-4327,Grand Lomé,Golfe,Golfe 1,Bè-Est,DZIFA KPOTA,SPT Dzifa Kpota,Banque,En activité,True,GOLFE,GOLFE 1,GOLFE | BE-EST,1.269995,6.164911666666665
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-4326,Grand Lomé,Golfe,Golfe 4,Amoutivé,DEKON,NSIA Banque - Direction générale,Banque,En activité,True,GOLFE,GOLFE 4,GOLFE | AMOUTIVE,1.2280632684965314,6.1366200384195695
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-4325,Grand Lomé,Golfe,Golfe 6,Baguida,BAGUIDA,ECOBANK Baguida,Banque,En activité,True,GOLFE,GOLFE 6,GOLFE | BAGUIDA,1.3269297744176531,6.164330909226384
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-4324,Grand Lomé,Golfe,Golfe 1,Bè-Est,BE KPOTA,UTB Be Kpota,Banque,En activité,True,GOLFE,GOLFE 1,GOLFE | BE-EST,1.255043333333333,6.1581
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-4323,Grand Lomé,Golfe,Golfe 2,Bè-Centre,HÉDZRANAWOE,UTB Hedzranawo,Banque,En activité,True,GOLFE,GOLFE 2,GOLFE | BE-CENTRE,1.2404883333333334,6.182610000000001
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-4322,Grand Lomé,Golfe,Golfe 2,Bè-Centre,NOVISSI,UTB Novissi Jean Paul 2,Banque,En activité,True,GOLFE,GOLFE 2,GOLFE | BE-CENTRE,1.2345683333333335,6.174466666666666
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-4321,Grand Lomé,Agoè-Nyivé,Agoè-Nyivé 2,Légbassito,ZOSSIME,UMECTO Zossime,Micro-Finance,En activité,True,AGOE-NYIVE,AGOE-NYIVE 2,AGOE-NYIVE | LEGBASSITO,1.1533418882286626,6.233313818374659
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-4320,Grand Lomé,Golfe,Golfe 3,Bè-Ouest,GTA,UTB Sgi,Banque,En activité,True,GOLFE,GOLFE 3,GOLFE | BE-OUEST,1.2123085932812612,6.188188307046548
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-431f,Grand Lomé,Golfe,Golfe 3,Bè-Ouest,ADEWUI,UTB Cadastre,Banque,En activité,True,GOLFE,GOLFE 3,GOLFE | BE-OUEST,1.2203616666666663,6.163129999999999
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-431e,Grand Lomé,Golfe,Golfe 4,Amoutivé,Kwadjoviakope,UTB Kwadjoviakope,Banque,En activité,True,GOLFE,GOLFE 4,GOLFE | AMOUTIVE,1.1997333333333329,6.113686666666665
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-431d,Grand Lomé,Golfe,Golfe 5,Aflao-Gakli,ADIDOGOME,UTB Adidogome,Banque,En activité,True,GOLFE,GOLFE 5,GOLFE | AFLAO-GAKLI,1.1844361581704725,6.173938606467558
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-431c,Grand Lomé,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,SANGUERA,WAGES Sanguera,Micro-Finance,En activité,True,AGOE-NYIVE,AGOE-NYIVE 5,AGOE-NYIVE | SANGUERA,1.11705832245944,6.227764718190804
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-431b,Grand Lomé,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,SANGUERA,FUCEC Togo -Togo COOPEC Akepe,Micro-Finance,En activité,True,AGOE-NYIVE,AGOE-NYIVE 5,AGOE-NYIVE | SANGUERA,1.1163963879472318,6.228350320064125
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-431a,Grand Lomé,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,AGNINGBE,COOPEC Grace Plus Agningbe,Micro-Finance,En activité,True,AGOE-NYIVE,AGOE-NYIVE 5,AGOE-NYIVE | SANGUERA,1.1125100000000006,6.2301
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-4319,Grand Lomé,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,ZOSSIME,WAGES Zossime,Micro-Finance,En activité,True,AGOE-NYIVE,AGOE-NYIVE 5,AGOE-NYIVE | SANGUERA,1.150194652967041,6.232699922230927
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-4318,Grand Lomé,Agoè-Nyivé,Agoè-Nyivé 2,Légbassito,ZOSSIME,FUCEC Togo Zossime,Micro-Finance,En activité,True,AGOE-NYIVE,AGOE-NYIVE 2,AGOE-NYIVE | LEGBASSITO,1.1515290669422864,6.234060848226777
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-4317,Grand Lomé,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,ASSIGOME,CEC Canaan Assigomé,Micro-Finance,En activité,True,AGOE-NYIVE,AGOE-NYIVE 3,AGOE-NYIVE | VAKPOSSITO,1.1588102180357074,6.227470793061823
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-4316,Grand Lomé,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,VAKPOSSITO,Assilassime Solidarite Agence Vakpossito,Micro-Finance,En activité,True,AGOE-NYIVE,AGOE-NYIVE 3,AGOE-NYIVE | VAKPOSSITO,1.163551666666666,6.217833333333336
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-4315,Grand Lomé,Golfe,Golfe 4,Amoutivé,Awsivito,ORABANK Awsivito,Banque,Non renseigné,False,GOLFE,GOLFE 4,GOLFE | AMOUTIVE,1.2225614917085577,6.130712869496344
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-4314,Grand Lomé,Golfe,Golfe 4,Amoutivé,AMOUTIEVE,BIA Togo Amoutivé,Banque,Non renseigné,False,GOLFE,GOLFE 4,GOLFE | AMOUTIVE,1.2228141094151594,6.13506543409183
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-4313,Grand Lomé,Golfe,Golfe 4,Amoutivé,Hanoukopé,SUNU Bank Hanoukopé,Banque,Non renseigné,False,GOLFE,GOLFE 4,GOLFE | AMOUTIVE,1.2190643228780644,6.135189608577579
